id,left_0,left_1,left_2,left_3,left_4,left_5,right_0,right_1,right_2,right_3,right_4,right_5,direct_0,direct_1,direct_2,direct_3,direct_4,direct_5
1304,0,0,1,0,1,13,0,1,1,0,3,4,0,0,4,0,17,25
217,0,0,0,0,0,2,0,0,0,0,1,4,0,0,5,0,3,5
214,0,0,0,0,1,8,0,0,0,0,0,1,0,1,0,0,3,4
1307,0,0,0,0,0,8,0,0,1,0,7,5,0,1,5,0,7,2
2961,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,1,9
1303,0,0,2,0,1,3,0,1,1,0,8,22,0,6,28,0,33,24
2846,0,0,2,0,0,0,0,0,6,0,1,6,0,1,0,0,19,13
1262,0,0,0,0,5,0,0,0,0,0,3,0,0,0,23,0,32,6
664,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,6,4
2843,0,0,0,0,1,5,0,0,1,0,20,0,0,0,24,0,35,21
3490,0,0,0,0,0,0,0,0,0,0,15,1,0,1,0,0,3,3
660,0,0,0,0,1,5,0,0,0,0,1,1,0,0,9,0,20,2
1818,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,5,4
136,0,0,0,0,0,0,0,0,3,0,5,0,0,0,11,0,11,2
3329,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,3,8
571,0,0,0,0,5,1,0,0,1,0,0,0,0,0,5,0,3,4
138,0,0,0,0,1,0,0,3,1,0,1,1,0,0,9,0,28,6
93,0,0,0,0,0,1,0,0,0,0,1,29,0,0,1,0,1,28
2620,0,0,0,0,4,11,0,0,0,0,17,3,0,0,5,0,26,7
24,0,0,0,0,0,0,0,0,2,0,13,0,0,0,12,0,21,4
25,0,0,0,0,1,0,0,0,10,0,3,3,0,0,14,0,13,3
20,0,0,0,0,18,9,0,0,1,0,3,2,0,6,4,0,7,20
21,0,0,0,0,0,0,0,5,3,0,1,2,0,1,26,0,21,0
2523,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,0
1079,0,1,2,0,4,3,0,1,7,0,28,3,0,9,41,0,30,26
297,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,15,3
160,0,0,0,0,0,1,0,0,0,0,6,5,0,0,4,0,13,27
966,0,0,4,0,5,5,0,0,3,0,3,1,0,0,13,0,12,2
1514,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,5
29,0,0,0,0,3,0,0,0,1,0,13,1,0,1,0,0,16,6
2481,0,0,3,0,2,2,0,0,0,0,20,2,0,0,2,0,16,13
406,0,0,2,0,0,1,0,0,5,0,1,7,0,0,10,0,32,7
540,0,0,0,0,2,3,0,0,0,0,1,3,0,0,0,0,1,16
527,0,0,0,0,0,1,0,0,2,0,13,5,0,0,8,0,14,5
546,0,0,3,0,3,27,0,0,5,0,1,1,0,0,8,0,4,3
4,0,0,0,0,6,11,0,0,0,0,4,10,0,1,9,0,24,100
544,0,0,1,0,0,4,0,0,0,0,18,0,0,0,27,0,88,22
1279,0,0,1,0,3,9,0,0,20,0,2,2,0,4,24,0,37,21
1379,0,0,0,0,4,8,0,0,0,0,1,9,0,0,0,0,26,26
283,0,0,0,0,1,0,0,0,2,0,1,0,0,0,14,0,7,1
3280,0,0,2,0,0,0,0,0,4,0,1,2,0,0,5,0,2,17
2158,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,14,8
1823,0,0,0,0,6,5,0,0,0,0,2,2,0,0,4,0,10,10
409,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,7
1673,0,0,0,0,1,0,0,1,3,0,1,0,0,1,26,0,3,2
2461,0,0,0,0,13,9,0,0,0,0,0,1,0,0,0,0,7,4
1310,0,0,1,0,1,15,0,0,0,0,18,8,0,0,9,0,14,11
1792,0,0,0,0,1,6,0,2,0,0,1,0,0,2,0,0,0,14
758,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,7,3
