id,left,right,direct
1304,15,9,46
217,2,5,13
214,9,1,8
1307,8,13,15
2961,1,5,10
1303,6,32,91
2846,2,13,33
1262,5,3,61
664,0,4,11
2843,6,21,80
3490,0,16,7
660,6,2,31
1818,4,1,9
136,0,8,24
3329,2,5,11
571,6,1,12
138,1,6,43
93,1,30,30
2620,15,20,38
24,0,15,37
25,1,16,30
20,27,6,37
21,0,11,48
2523,2,3,1
1079,10,39,106
297,1,1,21
160,1,11,44
966,14,7,27
1514,0,3,8
29,3,15,23
2481,7,22,31
406,3,13,49
540,5,4,17
527,1,20,27
546,33,7,15
4,17,14,134
544,5,18,137
1279,13,24,86
1379,12,10,52
283,1,3,22
3280,2,7,24
2158,6,2,22
1823,11,4,24
409,13,4,7
1673,1,5,32
2461,22,1,11
1310,17,26,34
1792,7,3,16
758,0,5,19
1790,3,2,15
999,3,35,62
1150,18,13,29
1152,1,14,27
3346,20,23,28
1014,19,14,42
122,1,13,14
123,2,1,54
661,2,4,16
1953,0,28,30
378,12,5,45
2129,2,2,15
1555,8,34,26
1016,16,97,29
2498,1,12,16
3561,0,24,7
3566,15,17,21
916,5,2,28
415,3,12,26
1825,42,103,202
54,11,18,58
1556,1,4,4
51,12,34,133
1820,2,7,33
53,9,13,41
363,6,24,162
2491,4,14,82
535,1,2,30
417,5,24,30
532,12,4,21
298,0,20,32
371,16,24,78
1872,18,10,19
361,1,21,7
418,1,10,6
419,1,7,11
377,10,10,21
499,2,57,62
2477,0,32,13
1320,9,11,21
2474,21,45,59
595,1,5,15
2470,1,6,69
313,9,5,16
312,0,3,12
311,2,19,39
310,0,2,17
317,1,0,20
10,8,40,99
969,3,12,12
393,12,20,54
619,1,3,12
111,21,6,25
3273,3,21,43
3308,2,7,7
176,17,3,4
1928,8,20,29
1428,4,4,47
2408,0,16,10
3303,2,2,11
792,2,6,24
3028,0,11,8
2072,1,18,35
3587,3,6,30
416,7,14,37
3651,1,4,24
713,0,1,22
2383,13,27,89
1408,0,2,9
7,5,4,16
1251,4,6,13
2047,3,10,12
367,0,4,36
364,20,1,68
422,0,6,34
1392,6,11,35
1258,31,70,50
411,3,16,57
3214,10,11,33
584,2,8,13
3583,3,25,38
3584,14,5,17
2259,1,0,7
3586,4,16,59
581,2,44,73
1336,0,0,17
1137,2,39,28
446,2,2,6
1332,7,12,55
380,0,8,19
1937,11,9,7
387,18,21,109
388,0,1,8
2830,15,3,9
784,0,8,35
785,14,32,110
1647,0,46,24
295,1,4,17
1980,1,25,25
841,1,12,47
1843,2,6,26
1727,7,18,57
31,0,4,12
23,2,9,16
788,12,31,51
1720,3,6,3
2571,1,11,33
641,10,5,15
59,3,8,59
1244,10,90,100
1247,1,21,48
1077,22,26,33
436,0,2,22
1383,7,27,41
376,15,23,33
515,0,22,18
2371,7,71,56
1001,7,3,76
431,2,5,14
6,7,13,69
579,0,4,6
338,2,10,71
882,0,1,10
942,5,15,24
572,20,15,67
452,0,16,35
453,0,4,48
319,16,11,62
2049,3,8,5
3269,9,7,26
258,22,12,70
259,3,13,27
64,15,43,84
3299,1,4,8
179,3,2,32
177,9,0,11
69,7,16,25
3290,21,4,6
886,0,1,23
2051,5,0,49
2118,6,28,76
1425,0,11,15
972,4,10,31
1427,0,26,24
2056,5,3,7
743,1,21,48
656,1,2,14
654,3,25,61
356,2,2,15
650,1,25,14
509,0,2,7
1032,15,11,45
2150,1,0,10
1030,5,16,10
505,0,3,40
2680,0,2,18
503,14,3,17
402,6,3,12
1879,20,7,55
569,1,3,34
751,0,6,35
468,7,11,66
755,2,1,17
637,23,9,29
2421,1,37,71
1351,19,33,34
1219,7,3,43
1849,0,4,12
463,1,4,40
99,0,4,16
1396,8,5,45
1865,3,9,6
229,0,3,27
164,0,6,11
165,7,4,82
166,0,2,12
167,1,0,9
95,0,3,60
97,8,12,22
220,3,13,28
11,10,20,37
965,4,6,26
274,3,2,12
1026,11,11,43
960,10,12,32
1360,10,3,47
16,3,1,35
3445,12,2,19
401,1,26,87
1029,5,2,48
1028,9,30,28
358,6,1,20
2064,1,3,35
724,0,3,11
2021,13,2,13
2696,1,13,19
817,2,5,14
2107,1,0,19
2029,6,9,22
2105,1,1,7
110,5,5,62
741,2,16,22
152,2,1,12
154,1,6,20
2866,12,2,10
1962,0,0,13
37,1,10,37
2637,3,36,16
609,1,8,19
2436,1,7,47
239,3,4,33
3537,1,34,17
234,8,3,12
621,0,2,7
2944,1,1,43
1814,0,6,25
1051,7,25,28
1052,4,4,55
2132,13,3,17
636,2,12,3
518,3,6,7
47,6,3,30
44,8,6,25
2225,0,11,7
1612,3,11,21
3347,7,34,51
957,0,5,16
1196,42,2,11
1,3,8,14
2001,1,3,14
2033,2,9,51
1690,4,12,5
9,1,13,21
1561,4,17,10
12,2,2,28
3192,14,15,14
2502,4,4,11
2500,1,9,68
146,1,14,35
147,1,4,15
2725,0,14,18
776,23,79,98
143,0,9,84
141,11,20,26
1270,12,7,8
613,8,0,9
2878,1,11,10
2984,2,10,41
148,3,3,15
3355,11,8,31
2079,10,2,14
3702,1,19,51
1886,7,4,20
484,3,11,46
3359,1,45,29
482,2,12,61
1287,10,15,44
1417,0,9,22
3540,0,3,34
1280,6,4,24
2336,20,25,27
3543,0,52,32
768,3,31,44
2083,3,14,56
1975,1,20,14
1289,29,12,53
2087,1,9,46
1809,2,14,11
433,0,2,7
2401,1,12,62
41,0,16,22
1768,12,0,10
1493,0,15,22
2007,7,3,6
474,3,21,52
2142,6,17,20
1762,1,6,15
2533,0,6,18
1478,2,1,14
479,2,14,34
807,2,18,31
1193,0,18,52
1765,3,3,30
